"Source:","D:\JDocuments\Projects\Electronics\Synth_clone\shruthi-1_kicad\Shruthi-Digital-XT-v03\Shruthi-Digital-XT-v03.kicad_sch"
"Date:","3/15/2024 7:17:12 AM"
"Tool:","Eeschema (6.0.0)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","118"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","100n","Shruthi-Digital-XT-v03-eagle-import:C-US025-024X044","C025-024X044",""
"","","C2","100n","Shruthi-Digital-XT-v03-eagle-import:C-US025-024X044","C025-024X044",""
"","","C3","100n","Shruthi-Digital-XT-v03-eagle-import:C-US025-024X044","C025-024X044",""
"","","C4","100u","Shruthi-Digital-XT-v03-eagle-import:CPOL-EUE2.5-7","E2,5-7",""
"","","C5","100n","Shruthi-Digital-XT-v03-eagle-import:C-US025-024X044","C025-024X044",""
"","","C6","100n","Shruthi-Digital-XT-v03-eagle-import:C-US025-024X044","C025-024X044",""
"","","C7","100n","Shruthi-Digital-XT-v03-eagle-import:C-US025-024X044","C025-024X044",""
"","","C8","100n","Shruthi-Digital-XT-v03-eagle-import:C-US025-024X044","C025-024X044",""
"","","C9","100n","Shruthi-Digital-XT-v03-eagle-import:C-US025-024X044","C025-024X044",""
"","","C10","100n","Shruthi-Digital-XT-v03-eagle-import:C-US025-024X044","C025-024X044",""
"","","C11","18p","Shruthi-Digital-XT-v03-eagle-import:C-US025-024X044","C025-024X044",""
"","","C12","18p","Shruthi-Digital-XT-v03-eagle-import:C-US025-024X044","C025-024X044",""
"","","C13","100n","Shruthi-Digital-XT-v03-eagle-import:C-US025-024X044","C025-024X044",""
"","","C14","100n","Shruthi-Digital-XT-v03-eagle-import:C-US025-024X044","C025-024X044",""
"","","C15","100n","Shruthi-Digital-XT-v03-eagle-import:C-US025-024X044","C025-024X044",""
"","","C16","100n","Shruthi-Digital-XT-v03-eagle-import:C-US025-024X044","C025-024X044",""
"","","C17","100n","Shruthi-Digital-XT-v03-eagle-import:C-US025-024X044","C025-024X044",""
"","","D1","1N4148","Shruthi-Digital-XT-v03-eagle-import:DIODE-D-5","D-5",""
"","","IC1","24LC512","Shruthi-Digital-XT-v03-eagle-import:AT24CP","DIL08",""
"","","IC2","74HC165N","Shruthi-Digital-XT-v03-eagle-import:74165N","DIL16",""
"","","IC3","74HC165N","Shruthi-Digital-XT-v03-eagle-import:74165N","DIL16",""
"","","IC4","4051N","Shruthi-Digital-XT-v03-eagle-import:4051N","DIL16",""
"","","IC5","4051N","Shruthi-Digital-XT-v03-eagle-import:4051N","DIL16",""
"","","IC6","4051N","Shruthi-Digital-XT-v03-eagle-import:4051N","DIL16",""
"","","IC7","4051N","Shruthi-Digital-XT-v03-eagle-import:4051N","DIL16",""
"","","IC8","74595N","Shruthi-Digital-XT-v03-eagle-import:74595N","DIL16",""
"","","IC9","74HC165N","Shruthi-Digital-XT-v03-eagle-import:74165N","DIL16",""
"","","IC10","ATMEGA644p","Shruthi-Digital-XT-v03-eagle-import:MEGA16-P","DIL40",""
"","","J1","M06SIP","Shruthi-Digital-XT-v03-eagle-import:M06SIP","1X06",""
"","","J2","POWER","Shruthi-Digital-XT-v03-eagle-import:M02PTH","1X02",""
"","","J3","M03PTH","Shruthi-Digital-XT-v03-eagle-import:M03PTH","1X03",""
"","","J4","POWER","Shruthi-Digital-XT-v03-eagle-import:M02PTH","1X02",""
"","","JP1","M03PTH","Shruthi-Digital-XT-v03-eagle-import:M03PTH","1X03",""
"","","JP2","M03PTH","Shruthi-Digital-XT-v03-eagle-import:M03PTH","1X03",""
"","","JP3","M01PTH","Shruthi-Digital-XT-v03-eagle-import:M01PTH","1X01",""
"","","LCD1","LCD-16X2","Shruthi-Digital-XT-v03-eagle-import:LCD-16X2","LCD-16X2",""
"","","LED1","LED3MM","Shruthi-Digital-XT-v03-eagle-import:LED3MM","LED3MM",""
"","","LED2","LED3MM","Shruthi-Digital-XT-v03-eagle-import:LED3MM","LED3MM",""
"","","LED3","LED3MM","Shruthi-Digital-XT-v03-eagle-import:LED3MM","LED3MM",""
"","","LED4","LED3MM","Shruthi-Digital-XT-v03-eagle-import:LED3MM","LED3MM",""
"","","LED5","LED3MM","Shruthi-Digital-XT-v03-eagle-import:LED3MM","LED3MM",""
"","","LED6","LED3MM","Shruthi-Digital-XT-v03-eagle-import:LED3MM","LED3MM",""
"","","LED7","LED3MM","Shruthi-Digital-XT-v03-eagle-import:LED3MM","LED3MM",""
"","","LED8","LED3MM","Shruthi-Digital-XT-v03-eagle-import:LED3MM","LED3MM",""
"","","OK1","6N137","Shruthi-Digital-XT-v03-eagle-import:6N137","DIL08",""
"","","Q1","20MHz","Shruthi-Digital-XT-v03-eagle-import:CRYSTALHC49U-V","HC49U-V",""
"","","R1","5k","Shruthi-Digital-XT-v03-eagle-import:R-TRIMM3339P","RTRIM3339P",""
"","","R2","R_LCD","Shruthi-Digital-XT-v03-eagle-import:R-US_0204{slash}7","0204_7",""
"","","R3","10kB","Shruthi-Digital-XT-v03-eagle-import:POT_USVERTICAL","ALPS_POT_VERTICAL",""
"","","R4","10kB","Shruthi-Digital-XT-v03-eagle-import:POT_USVERTICAL","ALPS_POT_VERTICAL",""
"","","R5","10kB","Shruthi-Digital-XT-v03-eagle-import:POT_USVERTICAL","ALPS_POT_VERTICAL",""
"","","R6","10kB","Shruthi-Digital-XT-v03-eagle-import:POT_USVERTICAL","ALPS_POT_VERTICAL",""
"","","R7","10kB","Shruthi-Digital-XT-v03-eagle-import:POT_USVERTICAL","ALPS_POT_VERTICAL",""
"","","R8","10kB","Shruthi-Digital-XT-v03-eagle-import:POT_USVERTICAL","ALPS_POT_VERTICAL",""
"","","R9","2.2k","Shruthi-Digital-XT-v03-eagle-import:R-US_0204{slash}7","0204_7",""
"","","R10","2.2k","Shruthi-Digital-XT-v03-eagle-import:R-US_0204{slash}7","0204_7",""
"","","R11","10kB","Shruthi-Digital-XT-v03-eagle-import:POT_USVERTICAL","ALPS_POT_VERTICAL",""
"","","R12","POT","Shruthi-Digital-XT-v03-eagle-import:POT_USVERTICAL","ALPS_POT_VERTICAL",""
"","","R13","10kB","Shruthi-Digital-XT-v03-eagle-import:POT_USVERTICAL","ALPS_POT_VERTICAL",""
"","","R14","10kB","Shruthi-Digital-XT-v03-eagle-import:POT_USVERTICAL","ALPS_POT_VERTICAL",""
"","","R15","220","Shruthi-Digital-XT-v03-eagle-import:R-US_0204{slash}7","0204_7",""
"","","R16","220","Shruthi-Digital-XT-v03-eagle-import:R-US_0204{slash}7","0204_7",""
"","","R17","220","Shruthi-Digital-XT-v03-eagle-import:R-US_0204{slash}7","0204_7",""
"","","R18","10k","Shruthi-Digital-XT-v03-eagle-import:R-US_0204{slash}7","0204_7",""
"","","R19","10k","Shruthi-Digital-XT-v03-eagle-import:R-US_0204{slash}7","0204_7",""
"","","R20","10kB","Shruthi-Digital-XT-v03-eagle-import:POT_USVERTICAL","ALPS_POT_VERTICAL",""
"","","R21","10kB","Shruthi-Digital-XT-v03-eagle-import:POT_USVERTICAL","ALPS_POT_VERTICAL",""
"","","R22","10kB","Shruthi-Digital-XT-v03-eagle-import:POT_USVERTICAL","ALPS_POT_VERTICAL",""
"","","R23","10kB","Shruthi-Digital-XT-v03-eagle-import:POT_USVERTICAL","ALPS_POT_VERTICAL",""
"","","R24","10kB","Shruthi-Digital-XT-v03-eagle-import:POT_USVERTICAL","ALPS_POT_VERTICAL",""
"","","R25","10kB","Shruthi-Digital-XT-v03-eagle-import:POT_USVERTICAL","ALPS_POT_VERTICAL",""
"","","R26","10kB","Shruthi-Digital-XT-v03-eagle-import:POT_USVERTICAL","ALPS_POT_VERTICAL",""
"","","R27","10kB","Shruthi-Digital-XT-v03-eagle-import:POT_USVERTICAL","ALPS_POT_VERTICAL",""
"","","R28","10kB","Shruthi-Digital-XT-v03-eagle-import:POT_USVERTICAL","ALPS_POT_VERTICAL",""
"","","R29","10kB","Shruthi-Digital-XT-v03-eagle-import:POT_USVERTICAL","ALPS_POT_VERTICAL",""
"","","R30","10kB","Shruthi-Digital-XT-v03-eagle-import:POT_USVERTICAL","ALPS_POT_VERTICAL",""
"","","R31","220","Shruthi-Digital-XT-v03-eagle-import:R-US_0204{slash}7","0204_7",""
"","","R32","220","Shruthi-Digital-XT-v03-eagle-import:R-US_0204{slash}7","0204_7",""
"","","R33","220","Shruthi-Digital-XT-v03-eagle-import:R-US_0204{slash}7","0204_7",""
"","","R34","220","Shruthi-Digital-XT-v03-eagle-import:R-US_0204{slash}7","0204_7",""
"","","R35","220","Shruthi-Digital-XT-v03-eagle-import:R-US_0204{slash}7","0204_7",""
"","","R36","220","Shruthi-Digital-XT-v03-eagle-import:R-US_0204{slash}7","0204_7",""
"","","R37","220","Shruthi-Digital-XT-v03-eagle-import:R-US_0204{slash}7","0204_7",""
"","","R38","220","Shruthi-Digital-XT-v03-eagle-import:R-US_0204{slash}7","0204_7",""
"","","R39","10kB","Shruthi-Digital-XT-v03-eagle-import:POT_USVERTICAL","ALPS_POT_VERTICAL",""
